TAPB	17.620546	-61.806995	17.621614	-61.789513
AGGH	-9.431739807128906	160.0449981689453	-9.424260139465332	160.06399536132812
AGGM	-8.329179763793945	157.2570037841797	-8.326760292053223	157.2689971923828
ANYN	-0.5411810278892517	166.91200256347656	-0.5537390112876892	166.92599487304688
AYBK	-5.4270100593566895	154.66700744628906	-5.417510032653809	154.67799377441406
AYCH	-6.027550220489502	144.96800231933594	-6.020209789276123	144.9739990234375
AYDU	-9.082289695739746	143.2030029296875	-9.091219902038574	143.21200561523438
AYGA	-6.074960231781006	145.39199829101562	-6.086249828338623	145.39300537109375
AYGA	-6.075319766998291	145.39100646972656	-6.0902299880981445	145.39199829101562
AYGN	-10.3100004196167	150.3260040283203	-10.312999725341797	150.34100341796875
AYGR	-8.810489654541016	148.3040008544922	-8.798600196838379	148.31399536132812
AYHK	-5.45786	150.400935	-5.469843	150.41355
AYKM	-7.960000038146973	145.7689971923828	-7.966939926147461	145.7740020751953
AYKV	-2.5749800205230713	150.802001953125	-2.5838100910186768	150.81399536132812
AYMD	-5.208930015563965	145.78199768066406	-5.205239772796631	145.79600524902344
AYMH	-5.827079772949219	144.29299926757812	-5.826149940490723	144.30299377441406
AYMH	-5.823760032653809	144.29100036621094	-5.833980083465576	144.30799865722656
AYMN	-6.141709804534912	143.656005859375	-6.1537699699401855	143.6580047607422
AYMO	-2.0539300441741943	147.42100524902344	-2.0698800086975098	147.427001953125
AYNZ	-6.56887	146.714996	-6.57078	146.737
AYPY	-9.430870056152344	147.21400451660156	-9.452099800109863	147.2270050048828
AYPY	-9.434709548950195	147.21299743652344	-9.450630187988281	147.22300720214844
AYTK	-4.338220119476318	152.3719940185547	-4.342619895935059	152.38699340820312
AYVN	-2.687619924545288	141.2969970703125	-2.6977601051330566	141.3090057373047
AYWD	-5.638070106506348	143.89100646972656	-5.648530006408691	143.89999389648438
AYWK	-3.5820999145507812	143.66200256347656	-3.5855600833892822	143.67599487304688
BGCO	70.74547576904297	-22.653499603271484	70.73716735839844	-22.643028259277344
BGGH	64.181442	-51.686234	64.200249	-51.672482
BGJN	69.240143	-51.063374	69.246284	-51.05085
BGQQ	77.490829	-69.404373	77.486465	-69.3731
BGSF	67.00559997558594	-50.743099212646484	67.0176010131836	-50.6864013671875
BGSS	66.95220184326172	-53.73809814453125	66.95040130615234	-53.72050094604492
BGTL	76.530006	-68.761505	76.532402	-68.644829
BIAR	65.6549	-18.0699	65.6672	-18.074
BIEG	65.274597	-14.4112	65.290802	-14.3928
BIGR	66.550392	-18.021309	66.541725	-18.013323
BIHN	64.3022	-15.2308	64.289101	-15.2239
BIIS	66.055099	-23.1486	66.060997	-23.121599
BIKF	63.964487	-22.605428	63.99186	-22.605407
BIKF	63.985026	-22.654977	63.985031	-22.592365
BIRK	64.122002	-21.936199	64.136002	-21.9389
